station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,sknt,mslp,p01m,p01i,gust,skyc1,skyl1,romps_LCL_m,lcl_estimate
0J4,2023-07-01 00:58,85.0,29.44,74.0,23.33,69.69,92.36,3.0,1014.5,0.0,0.0,,CLR,,790.4761449163814,763.7500000000003
LOR,2023-07-01 01:28,80.6,27.0,73.4,23.0,78.76,85.32,3.0,1012.6,0.0,0.0,,CLR,,517.4721653804929,500.0
HEY,2023-07-01 01:33,84.2,29.0,71.6,22.0,65.95,89.6,0.0,1013.7,0.0,0.0,,CLR,,902.2854807595359,875.0
SXS,2023-07-01 01:36,82.4,28.0,71.6,22.0,69.9,87.18,0.0,1014.0,0.0,0.0,,CLR,,773.68970510643,750.0
OZR,2023-07-01 01:41,82.4,28.0,73.4,23.0,74.28,88.26,3.0,1014.4,0.0,0.0,,CLR,,646.4741350080103,625.0
DCU,2023-07-01 01:53,86.0,30.0,73.0,22.78,65.27,93.09,3.0,1014.0,0.0,0.0,,CLR,,932.3317188177688,902.4999999999999
GZH,2023-07-01 01:53,81.0,27.22,77.0,25.0,87.67,88.3,0.0,1014.1,0.0,0.0,,CLR,,289.08688135550335,277.4999999999999
BHM,2023-07-01 01:53,90.0,32.22,72.0,22.22,55.58,97.29,8.0,1014.5,0.0,0.0,,CLR,,1288.1192874927874,1250.0
BFM,2023-07-01 01:53,85.0,29.44,72.0,22.22,65.36,90.82,3.0,1015.3,0.0,0.0,,CLR,,924.6342141625724,902.5000000000003
ANB,2023-07-01 01:53,79.0,26.11,72.0,22.22,79.17,79.0,3.0,1014.6,0.0,0.0,,CLR,,502.24024028957115,486.25000000000006
MSL,2023-07-01 01:53,84.0,28.89,75.0,23.89,74.43,91.96,0.0,1013.5,0.0,0.0,,CLR,,647.6348821113558,625.0
HSV,2023-07-01 01:53,86.0,30.0,78.0,25.56,77.37,98.48,3.0,1013.8,0.0,0.0,,FEW,6000.0,571.0110406973357,555.0000000000001
EET,2023-07-01 01:53,86.0,30.0,74.0,23.33,67.27,93.91,3.0,1013.9,0.0,0.0,,CLR,,869.1348771534789,833.7500000000002
TOI,2023-07-01 01:53,82.0,27.78,74.0,23.33,76.53,87.93,0.0,1014.5,0.0,0.0,,CLR,,582.2197271846692,556.2500000000003
DHN,2023-07-01 01:53,82.0,27.78,69.0,20.56,65.03,85.39,5.0,1015.5,0.0,0.0,,CLR,,920.95030645855,902.5000000000003
MGM,2023-07-01 01:53,81.0,27.22,76.0,24.44,84.53,87.33,4.0,1013.8,0.0,0.0,,CLR,,367.7599684426308,347.4999999999997
TCL,2023-07-01 01:53,84.0,28.89,78.0,25.56,82.5,94.94,0.0,1014.0,0.0,0.0,,CLR,,426.6098054750126,416.2500000000002
OZR,2023-07-01 01:55,82.0,27.78,73.4,23.0,75.5,87.47,4.0,1014.4,0.0,0.0,,CLR,,610.838987199978,597.5000000000001
SXS,2023-07-01 01:55,82.4,28.0,73.2,22.89,73.78,88.13,0.0,1013.9,0.0,0.0,,CLR,,660.6944732599197,638.7499999999999
HEY,2023-07-01 01:55,81.5,27.5,73.2,22.89,75.97,86.72,0.0,1013.7,0.0,0.0,,CLR,,596.1747049701949,576.2499999999999
HUA,2023-07-01 01:55,86.4,30.22,77.0,25.0,73.66,97.79,0.0,1014.2,0.0,0.0,,CLR,,678.1402565696935,652.4999999999999
LOR,2023-07-01 01:55,79.7,26.5,74.0,23.33,82.49,79.7,3.0,1012.6,0.0,0.0,,CLR,,417.2510721915022,396.2500000000002
MXF,2023-07-01 01:55,82.0,27.78,74.0,23.33,76.78,87.77,0.0,1013.3,0.0,0.0,,CLR,,575.3308696321528,556.2500000000003
MOB,2023-07-01 01:56,85.0,29.44,72.0,22.22,65.36,90.82,4.0,1014.8,0.0,0.0,,SCT,25000.0,924.6412370027713,902.5000000000003
EKY,2023-07-01 01:56,84.0,28.89,75.0,23.89,74.43,91.96,3.0,1000.1,0.0,0.0,,CLR,,647.7829716781348,625.0
79J,2023-07-01 01:56,82.0,27.78,73.0,22.78,74.24,87.39,0.0,1013.9,0.0,0.0,,CLR,,646.2773843630346,625.0
1M4,2023-07-01 01:56,84.0,28.89,78.0,25.56,82.5,94.94,4.0,1014.7,0.0,0.0,,CLR,,426.6042327421522,416.2500000000002
GAD,2023-07-01 01:56,81.0,27.22,78.0,25.56,90.92,89.39,0.0,1015.3,0.0,0.0,,CLR,,209.95007550782765,207.50000000000003
PRN,2023-07-01 01:58,79.0,26.11,75.0,23.89,87.58,79.0,0.0,1009.1,0.0,0.0,,CLR,,288.24431977754983,277.4999999999999
EUF,2023-07-01 01:58,75.0,23.89,68.0,20.0,78.86,75.0,3.0,1016.0,0.0,0.0,,CLR,,499.91886882049937,486.25000000000006
0J4,2023-07-01 01:58,82.0,27.78,75.0,23.89,79.4,88.64,0.0,1014.3,0.0,0.0,,CLR,,504.057967488779,486.25000000000006
SXS,2023-07-01 02:13,80.6,27.0,73.4,23.0,78.76,85.32,0.0,1014.6,0.0,0.0,,CLR,,517.4556618836768,500.0
HEY,2023-07-01 02:21,84.2,29.0,71.6,22.0,65.95,89.6,0.0,1014.4,0.0,0.0,,CLR,,902.2760255584886,875.0
LOR,2023-07-01 02:26,78.8,26.0,73.4,23.0,83.55,78.8,0.0,1013.3,0.0,0.0,,CLR,,388.2458241319975,375.0
OZR,2023-07-01 02:31,80.6,27.0,73.4,23.0,78.76,85.32,4.0,1015.1,0.0,0.0,,CLR,,517.4515462818538,500.0
HSV,2023-07-01 02:53,85.0,29.44,75.0,23.89,72.3,93.35,3.0,1015.3,0.0,0.0,,SCT,25000.0,712.7645916311125,693.7500000000001
EET,2023-07-01 02:53,83.0,28.33,75.0,23.89,77.12,90.18,0.0,1014.6,0.0,0.0,,CLR,,568.9129702892712,554.9999999999998
BHM,2023-07-01 02:53,88.0,31.11,73.0,22.78,61.24,95.73,5.0,1015.1,0.0,0.0,,CLR,,1075.403217461643,1041.2499999999998
ANB,2023-07-01 02:53,78.0,25.56,72.0,22.22,81.55,78.1,3.0,1015.4,0.0,0.0,,CLR,,437.62288921293094,417.5
MSL,2023-07-01 02:53,82.0,27.78,75.0,23.89,79.4,88.64,0.0,1014.7,0.0,0.0,,CLR,,504.05457848257646,486.25000000000006
TOI,2023-07-01 02:53,81.0,27.22,74.0,23.33,79.06,86.25,0.0,1015.5,0.0,0.0,,CLR,,510.4745945238206,486.25000000000006
DHN,2023-07-01 02:53,79.0,26.11,69.0,20.56,71.72,79.0,6.0,1016.4,0.0,0.0,,CLR,,707.4903494599894,693.7500000000001
DCU,2023-07-01 02:53,81.0,27.22,74.0,23.33,79.06,86.25,3.0,1015.4,0.0,0.0,,CLR,,510.4754194223462,486.25000000000006
MGM,2023-07-01 02:53,81.0,27.22,76.0,24.44,84.53,87.33,0.0,1015.0,0.0,0.0,,CLR,,367.7523198513312,347.4999999999997
TCL,2023-07-01 02:53,81.0,27.22,78.0,25.56,90.92,89.39,0.0,1014.4,0.0,0.0,,CLR,,209.95359908834914,207.50000000000003
BFM,2023-07-01 02:53,85.0,29.44,73.0,22.78,67.61,91.6,3.0,1015.6,0.0,0.0,,CLR,,854.0574176669508,832.5
GZH,2023-07-01 02:53,80.0,26.67,76.0,24.44,87.05,85.75,0.0,1014.7,0.0,0.0,,CLR,,302.83526921671194,278.75000000000006
LOR,2023-07-01 02:55,78.6,25.89,73.0,22.78,82.98,78.6,3.0,1013.6,0.0,0.0,,CLR,,402.32053148846086,388.74999999999994
MXF,2023-07-01 02:55,79.2,26.22,72.3,22.39,79.45,79.2,3.0,1014.6,0.0,0.0,,CLR,,495.34514304291434,478.7499999999998
HEY,2023-07-01 02:55,82.6,28.11,71.0,21.67,67.81,87.06,6.0,1014.7,0.0,0.0,,CLR,,837.4883334165759,804.9999999999998
OZR,2023-07-01 02:55,80.0,26.67,73.6,23.11,80.6,84.53,4.0,1015.1,0.0,0.0,,CLR,,467.08269151418403,445.0000000000003
SXS,2023-07-01 02:55,81.0,27.22,72.3,22.39,74.66,85.64,3.0,1015.0,0.0,0.0,,CLR,,631.0770073821574,603.7499999999998
1M4,2023-07-01 02:56,79.0,26.11,79.0,26.11,100.0,79.0,0.0,1015.6,0.0,0.0,,CLR,,0.0,0.0
MOB,2023-07-01 02:56,83.0,28.33,73.0,22.78,72.11,88.75,3.0,1015.2,0.0,0.0,,FEW,25000.0,710.9114786975438,693.7499999999997
EKY,2023-07-01 02:56,83.0,28.33,75.0,23.89,77.12,90.18,3.0,1000.7,0.0,0.0,,CLR,,569.0481153431302,554.9999999999998
79J,2023-07-01 02:56,80.0,26.67,75.0,23.89,84.47,85.09,0.0,1014.9,0.0,0.0,,CLR,,367.3419407615009,347.5000000000001
GAD,2023-07-01 02:56,80.0,26.67,78.0,25.56,93.64,87.68,0.0,1016.2,0.0,0.0,,CLR,,144.62834221485562,138.75000000000037
PRN,2023-07-01 02:58,77.0,25.0,75.0,23.89,93.56,77.0,0.0,1010.1,0.0,0.0,,CLR,,144.15980730903013,138.74999999999994
EUF,2023-07-01 02:58,73.0,22.78,69.0,20.56,87.59,73.0,3.0,1016.6,0.0,0.0,,CLR,,278.963123065336,277.5000000000003
0J4,2023-07-01 02:58,82.0,27.78,74.0,23.33,76.53,87.93,0.0,1015.5,0.0,0.0,,CLR,,582.2103093984695,556.2500000000003
OZR,2023-07-01 03:35,78.8,26.0,69.8,21.0,73.95,78.8,5.0,1015.8,0.0,0.0,,CLR,,643.6743015786432,625.0
SXS,2023-07-01 03:40,80.6,27.0,73.4,23.0,78.76,85.32,0.0,1015.6,0.0,0.0,,CLR,,517.4474347767211,500.0
LOR,2023-07-01 03:43,78.8,26.0,71.6,22.0,78.62,78.8,3.0,1014.3,0.0,0.0,,CLR,,516.3218684262054,500.0
HSV,2023-07-01 03:53,81.0,27.22,68.0,20.0,64.69,83.76,24.0,1017.4,0.0001,0.0001,36.0,FEW,900.0,926.8720169260922,902.4999999999999
EET,2023-07-01 03:53,82.0,27.78,75.0,23.89,79.4,88.64,0.0,1015.2,0.0,0.0,,CLR,,504.0503460237469,486.25000000000006
DHN,2023-07-01 03:53,78.0,25.56,68.0,20.0,71.14,78.1,7.0,1017.0,0.0,0.0,,CLR,,720.4858224321345,694.9999999999999
BHM,2023-07-01 03:53,85.0,29.44,73.0,22.78,67.61,91.6,4.0,1016.1,0.0,0.0,,CLR,,854.0507148072028,832.5
BFM,2023-07-01 03:53,83.0,28.33,73.0,22.78,72.11,88.75,3.0,1015.3,0.0,0.0,,CLR,,710.9103610313603,693.7499999999997
ANB,2023-07-01 03:53,77.0,25.0,72.0,22.22,84.58,77.0,4.0,1016.2,0.0,0.0,,CLR,,358.79968164374503,347.5000000000001
MGM,2023-07-01 03:53,81.0,27.22,75.0,23.89,82.03,86.83,3.0,1015.4,0.0,0.0,,CLR,,432.0470128122929,416.2499999999998
MSL,2023-07-01 03:53,82.0,27.78,75.0,23.89,79.4,88.64,8.0,1016.3,0.0,0.0,,CLR,,504.04104944271705,486.25000000000006
TOI,2023-07-01 03:53,81.0,27.22,71.0,21.67,71.92,84.95,3.0,1016.0,0.0,0.0,,CLR,,709.0536520126713,693.7499999999997
DCU,2023-07-01 03:53,81.0,27.22,67.0,19.44,62.28,83.4,16.0,1017.5,0.0,0.0,31.0,FEW,4700.0,1003.8333629240435,972.4999999999997
TCL,2023-07-01 03:53,81.0,27.22,78.0,25.56,90.92,89.39,0.0,1014.5,0.0,0.0,,CLR,,209.95320726671397,207.50000000000003
GZH,2023-07-01 03:53,78.0,25.56,76.0,24.44,92.97,78.1,0.0,1015.1,0.0,0.0,,CLR,,158.5949675450244,139.9999999999997
OZR,2023-07-01 03:55,78.0,25.56,69.8,21.0,75.67,78.1,5.0,1015.8,0.0,0.0,,CLR,,593.5885562928441,569.9999999999999
LOR,2023-07-01 03:55,79.2,26.22,69.6,20.89,72.48,79.2,4.0,1014.3,0.0,0.0,,CLR,,686.5128458249357,666.2499999999998
MXF,2023-07-01 03:55,80.4,26.89,74.0,23.33,80.62,85.19,0.0,1015.3,0.0,0.0,,CLR,,467.5301749892329,445.0000000000003
HEY,2023-07-01 03:55,81.3,27.39,69.0,20.56,66.07,84.45,6.0,1015.0,0.0,0.0,,CLR,,885.2488382348932,853.7500000000002
SXS,2023-07-01 03:55,80.0,26.67,72.0,22.22,76.87,79.9,3.0,1015.6,0.0,0.0,,CLR,,566.8709291959844,556.2500000000003
79J,2023-07-01 03:56,78.0,25.56,75.0,23.89,90.21,78.1,0.0,1015.3,0.0,0.0,,CLR,,223.4386087149494,208.74999999999977
1M4,2023-07-01 03:56,77.0,25.0,77.0,25.0,100.0,77.0,0.0,1016.2,0.0,0.0,,CLR,,1.03576399561605e-11,0.0
MOB,2023-07-01 03:56,82.0,27.78,73.0,22.78,74.24,87.39,4.0,1015.1,0.0,0.0,,CLR,,646.2652086457273,625.0
EKY,2023-07-01 03:56,80.0,26.67,75.0,23.89,84.47,85.09,0.0,1001.2,0.0,0.0,,CLR,,367.42737932412666,347.5000000000001
GAD,2023-07-01 03:56,80.0,26.67,78.0,25.56,93.64,87.68,4.0,1017.1,0.0,0.0,,BKN,5000.0,144.62593025219945,138.75000000000037
PRN,2023-07-01 03:58,77.0,25.0,74.0,23.33,90.17,77.0,0.0,1010.4,0.0,0.0,,CLR,,223.2035706298088,208.75000000000023
EUF,2023-07-01 03:58,71.0,21.67,69.0,20.56,93.4,71.1,0.0,1016.8,0.0,0.0,,CLR,,143.17226121178166,138.75000000000037
0J4,2023-07-01 03:58,80.0,26.67,74.0,23.33,81.42,84.64,0.0,1015.9,0.0,0.0,,CLR,,445.6315182742445,417.50000000000045
HSV,2023-07-01 04:53,77.0,25.0,68.0,20.0,73.78,77.0,8.0,1016.3,0.0001,0.0001,,FEW,5000.0,642.4141844993055,625.0
EET,2023-07-01 04:53,80.0,26.67,75.0,23.89,84.47,85.09,0.0,1015.9,0.0,0.0,,CLR,,367.3357956484101,347.5000000000001
DCU,2023-07-01 04:53,76.0,24.44,66.0,18.89,71.41,75.9,9.0,1016.5,0.0,0.0,,CLR,,705.3945061158396,693.7500000000001
GZH,2023-07-01 04:53,77.0,25.0,75.0,23.89,93.56,77.0,0.0,1015.5,0.0,0.0,,CLR,,144.14666976214022,138.74999999999994
BHM,2023-07-01 04:53,84.0,28.89,73.0,22.78,69.59,90.34,0.0,1017.0,0.0,0.0,,SCT,5000.0,789.4075067583013,763.7499999999999
BFM,2023-07-01 04:53,83.0,28.33,73.0,22.78,72.11,88.75,0.0,1015.7,0.0,0.0,,CLR,,710.9058925911963,693.7499999999997
ANB,2023-07-01 04:53,77.0,25.0,72.0,22.22,84.58,77.0,3.0,1016.4,0.0,0.0,,BKN,5500.0,358.7985960481908,347.5000000000001
TCL,2023-07-01 04:53,80.0,26.67,77.0,25.0,90.29,86.69,3.0,1015.0,0.0,0.0,,CLR,,223.92137134293608,208.75000000000023
TOI,2023-07-01 04:53,79.0,26.11,69.0,20.56,71.72,79.0,0.0,1016.5,0.0,0.0,,CLR,,707.4893819798554,693.7500000000001
MGM,2023-07-01 04:53,79.0,26.11,74.0,23.33,84.41,79.0,7.0,1016.1,0.0,0.0,,CLR,,366.8880542509744,347.5000000000001
MSL,2023-07-01 04:53,82.0,27.78,62.0,16.67,50.97,82.91,9.0,1016.2,0.0001,0.0001,20.0,CLR,,1407.9967997432082,1388.75
DHN,2023-07-01 04:53,76.0,24.44,67.0,19.44,73.68,75.9,5.0,1017.0,0.0,0.0,,CLR,,641.8359959493706,625.0
OZR,2023-07-01 04:55,76.5,24.72,67.5,19.72,73.73,76.5,7.0,1016.1,0.0,0.0,,CLR,,642.1299394162612,625.0
LOR,2023-07-01 04:55,76.6,24.78,68.0,20.0,74.77,76.6,3.0,1014.7,0.0,0.0,,CLR,,613.8358656874634,597.5000000000001
MXF,2023-07-01 04:55,80.8,27.11,71.2,21.78,72.64,84.71,5.0,1016.0,0.0,0.0,,CLR,,687.6280855823667,666.2499999999998
HEY,2023-07-01 04:55,78.8,26.0,66.0,18.89,64.88,78.8,5.0,1015.4,0.0,0.0,,CLR,,910.6861906824028,888.7499999999999
SXS,2023-07-01 04:55,78.0,25.56,69.0,20.56,73.88,78.1,4.0,1015.6,0.0,0.0,,CLR,,642.990241380782,625.0
79J,2023-07-01 04:56,78.0,25.56,75.0,23.89,90.21,78.1,0.0,1015.6,0.0,0.0,,CLR,,223.4374870710556,208.74999999999977
1M4,2023-07-01 04:56,79.0,26.11,75.0,23.89,87.58,79.0,11.0,1017.1,0.0,0.0,19.0,FEW,3000.0,288.2054426145876,277.4999999999999
MOB,2023-07-01 04:56,82.0,27.78,73.0,22.78,74.24,87.39,3.0,1015.3,0.0,0.0,,CLR,,646.2631821878653,625.0
GAD,2023-07-01 04:56,79.0,26.11,77.0,25.0,93.61,79.0,4.0,1017.3,0.0,0.0,,FEW,4300.0,144.5376548471256,138.74999999999994
EKY,2023-07-01 04:56,78.0,25.56,76.0,24.44,92.97,78.1,4.0,1002.0,0.0,0.0,,CLR,,158.63131246488064,139.9999999999997
PRN,2023-07-01 04:58,75.0,23.89,74.0,23.33,96.38,75.0,0.0,1010.9,0.0,0.0,,CLR,,79.24722785586997,70.00000000000028
EUF,2023-07-01 04:58,71.0,21.67,69.0,20.56,93.4,71.1,0.0,1016.7,0.0,0.0,,CLR,,143.17245649232495,138.75000000000037
0J4,2023-07-01 04:58,80.0,26.67,74.0,23.33,81.42,84.64,0.0,1016.3,0.0,0.0,,CLR,,445.62864963659104,417.50000000000045
LOR,2023-07-01 05:46,75.2,24.0,68.0,20.0,78.34,75.2,0.0,1014.0,0.0,0.0,,CLR,,514.0446547434171,500.0
HSV,2023-07-01 05:53,75.0,23.89,68.0,20.0,78.86,75.0,7.0,1014.3,0.0,0.0,,CLR,,499.9300913083928,486.25000000000006
EET,2023-07-01 05:53,81.0,27.22,75.0,23.89,82.03,86.83,0.0,1016.0,0.0,0.0,,FEW,4900.0,432.0426661261508,416.2499999999998
TOI,2023-07-01 05:53,77.0,25.0,68.0,20.0,73.78,77.0,0.0,1016.1,0.0,0.0,,CLR,,642.4158769940838,625.0
DCU,2023-07-01 05:53,72.0,22.22,66.0,18.89,81.41,72.0,0.0,1015.0,0.0,0.0,,CLR,,427.57445825847776,416.2499999999998
BFM,2023-07-01 05:53,80.0,26.67,75.0,23.89,84.47,85.09,0.0,1015.7,0.0,0.0,,CLR,,367.3370236918715,347.5000000000001
ANB,2023-07-01 05:53,76.0,24.44,73.0,22.78,90.74,75.9,3.0,1015.7,0.0,0.0,,FEW,4400.0,208.60838793394373,207.50000000000003
MGM,2023-07-01 05:53,78.0,25.56,72.0,22.22,81.55,78.1,7.0,1016.1,0.0,0.0,,,,437.6182653165754,417.5
TCL,2023-07-01 05:53,81.0,27.22,77.0,25.0,87.67,88.3,4.0,1015.9,0.0,0.0,,CLR,,289.07753339944543,277.4999999999999
MSL,2023-07-01 05:53,79.0,26.11,63.0,17.22,58.04,79.0,5.0,1014.8,0.0,0.0,,CLR,,1133.8958546753772,1111.25
DHN,2023-07-01 05:53,75.0,23.89,67.0,19.44,75.92,75.0,4.0,1016.7,0.0,0.0,,CLR,,577.6793999155159,556.2499999999999
GZH,2023-07-01 05:53,76.0,24.44,74.0,23.33,93.53,75.9,0.0,1015.7,0.0,0.0,,CLR,,144.05537886146806,138.75000000000037
BHM,2023-07-01 05:53,83.0,28.33,74.0,23.33,74.33,89.37,0.0,1016.1,0.0,0.0,,SCT,4300.0,647.0427265062517,625.0
OZR,2023-07-01 05:55,74.7,23.72,65.8,18.78,73.82,74.7,7.0,1015.8,0.0,0.0,,CLR,,633.7275834363692,617.4999999999998
LOR,2023-07-01 05:55,73.8,23.22,67.5,19.72,80.69,73.8,0.0,1014.3,0.0,0.0,,CLR,,449.8502069700713,437.5
SXS,2023-07-01 05:55,77.2,25.11,66.2,19.0,68.87,77.2,3.0,1015.6,0.0,0.0,,CLR,,783.2939398522157,763.7499999999999
HEY,2023-07-01 05:55,77.0,25.0,66.4,19.11,69.81,77.0,3.0,1015.0,0.0,0.0,,CLR,,755.0796867951353,736.2500000000001
MXF,2023-07-01 05:55,79.2,26.22,69.0,20.56,70.77,79.2,4.0,1016.0,0.0,0.0,,CLR,,735.6299343390767,707.5
MOB,2023-07-01 05:56,79.0,26.11,73.0,22.78,81.89,79.0,0.0,1015.5,0.0,0.0,,CLR,,431.1218077271038,416.2499999999998
GAD,2023-07-01 05:56,77.0,25.0,76.0,24.44,96.41,77.0,3.0,1016.3,0.0,0.0,,FEW,6000.0,79.42331077574859,69.99999999999984
EKY,2023-07-01 05:56,77.0,25.0,76.0,24.44,96.41,77.0,3.0,1001.8,0.0,0.0,,CLR,,79.44350188178888,69.99999999999984
79J,2023-07-01 05:56,78.0,25.56,74.0,23.33,86.95,78.1,0.0,1015.5,0.0,0.0,,CLR,,302.0746722762366,278.75000000000006
1M4,2023-07-01 05:56,76.0,24.44,71.0,21.67,85.09,75.9,0.0,1015.8,0.0,0.0,,CLR,,344.30270130649626,346.24999999999994
PRN,2023-07-01 05:58,76.0,24.44,73.0,22.78,90.74,75.9,0.0,1010.7,0.0,0.0,,CLR,,208.6248719822349,207.50000000000003
0J4,2023-07-01 05:58,79.0,26.11,73.0,22.78,81.89,79.0,0.0,1016.1,0.0,0.0,,CLR,,431.11775573688124,416.2499999999998
EUF,2023-07-01 05:58,71.0,21.67,69.0,20.56,93.4,71.1,0.0,1016.3,0.0,0.0,,FEW,8000.0,143.17323800239052,138.75000000000037
HSV,2023-07-01 06:53,74.0,23.33,68.0,20.0,81.82,73.9,4.0,1014.8,0.0,0.0,,CLR,,421.71506496726914,416.2499999999998
EET,2023-07-01 06:53,80.0,26.67,75.0,23.89,84.47,85.09,0.0,1015.4,0.0,0.0,,SCT,5500.0,367.33886667456477,347.5000000000001
DCU,2023-07-01 06:53,71.0,21.67,66.0,18.89,83.93,71.1,3.0,1014.9,0.0,0.0,,CLR,,363.4231847204751,347.5000000000001
GZH,2023-07-01 06:53,75.0,23.89,73.0,22.78,93.51,75.0,0.0,1015.5,0.0,0.0,,CLR,,143.74995335157686,138.74999999999994
BFM,2023-07-01 06:53,79.0,26.11,75.0,23.89,87.58,79.0,0.0,1015.8,0.0,0.0,,CLR,,288.2117180034236,277.4999999999999
ANB,2023-07-01 06:53,76.0,24.44,72.0,22.22,87.73,75.9,0.0,1015.0,0.0,0.0,,CLR,,280.03976641387504,277.5000000000003
TCL,2023-07-01 06:53,79.0,26.11,77.0,25.0,93.61,79.0,0.0,1015.3,0.0,0.0,,CLR,,144.54283714695524,138.74999999999994
TOI,2023-07-01 06:53,77.0,25.0,67.0,19.44,71.03,77.0,0.0,1016.0,0.0,0.0,,FEW,6500.0,719.9145039462617,694.9999999999999
BHM,2023-07-01 06:53,82.0,27.78,74.0,23.33,76.53,87.93,0.0,1015.8,0.0,0.0,,FEW,4200.0,582.2074877186119,556.2500000000003
